picker,u90,u40,pick3
,Under 90,Under 40,OLD AS FUCK
,,,
How to win,First hit of either pick,First hit of pick,First to hit all 3
,,,
Payout,1 beer from each loser,2 beers from each loser,1 beer from each loser
,,,
"No Duplicates, check what everyone else has before you make your selections.",,,
Noah,Michael Caine,Pitbull,Pope Benedict XVI
,R.L. Stine,,Jimmy Carter
,,,Noam Chomsky
,,,
Charles,Willie Nelson,6ix9ine,"Prince Philip, Duke of Edinburgh"
,Donald Trump,,Bob Barker
,,,The Queen
,,,
Tommy,John Madden,Lil Wayne,Betty White
,Alex Trebek,,Mel Brooks
,,,David Attenborough
,,,
GAvin,David Lynch,Tory Lanes,Ozzy Osbourne
,Keith Richards,,Larry King
,,,Michael J. Fox
,,,
Javier,Whitey Herzog,Lil Pump,Roberta McCain
,Jane Goodall,,Mary Ward
,,,Ruthie Tompson
,,,
Fred,Steve Bannon,Colby Covington,Humaid bin Rashid Al Nuaimi III
,Ghislaine Maxwell,,Paula Dean
,,,Dianne Feinstein
